Step,Layer,Head,Sparsity
1,0,0,0.7058
1,0,1,0.6478
1,0,2,0.8909
1,0,3,0.7577
1,0,4,0.8903
1,0,5,0.444
1,0,6,0.0079
1,0,7,0.8694
1,0,8,0.8699
1,0,9,0.0182
1,0,10,0.733
1,0,11,0.5585
1,0,12,0.0347
1,0,13,0.7906
1,0,14,0.7672
1,0,15,0.8768
1,0,16,0.8114
1,0,17,0.5263
1,0,18,0.126
1,0,19,0.4532
1,0,20,0.6681
1,0,21,0.0366
1,0,22,0.2255
1,0,23,0.786
1,1,0,0.2376
1,1,1,0.6726
1,1,2,0.3634
1,1,3,0.4989
1,1,4,0.527
1,1,5,0.2633
1,1,6,0.2615
1,1,7,0.0026
1,1,8,0.6612
1,1,9,0.0408
1,1,10,0.0311
1,1,11,0.0019
1,1,12,0.0017
1,1,13,0.8336
1,1,14,0.5973
1,1,15,0.0016
1,1,16,0.6456
1,1,17,0.2242
1,1,18,0.0019
1,1,19,0.0093
1,1,20,0.7496
1,1,21,0.018
1,1,22,0.4318
1,1,23,0.6427
1,2,0,0.0015
1,2,1,0.1358
1,2,2,0.0061
1,2,3,0.0032
1,2,4,0.0019
1,2,5,0.0591
1,2,6,0.1354
1,2,7,0.0018
1,2,8,0.0104
1,2,9,0.0719
1,2,10,0.0063
1,2,11,0.01
1,2,12,0.0091
1,2,13,0.2803
1,2,14,0.0363
1,2,15,0.0078
1,2,16,0.0088
1,2,17,0.0351
1,2,18,0.4598
1,2,19,0.0025
1,2,20,0.7516
1,2,21,0.1638
1,2,22,0.017
1,2,23,0.0538
1,3,0,0.041
1,3,1,0.0888
1,3,2,0.206
1,3,3,0.2707
1,3,4,0.1789
1,3,5,0.2665
1,3,6,0.4648
1,3,7,0.2896
1,3,8,0.2159
1,3,9,0.0059
1,3,10,0.1947
1,3,11,0.1933
1,3,12,0.0159
1,3,13,0.0912
1,3,14,0.4403
1,3,15,0.0745
1,3,16,0.1097
1,3,17,0.0038
1,3,18,0.3168
1,3,19,0.1981
1,3,20,0.4771
1,3,21,0.2117
1,3,22,0.005
1,3,23,0.101
1,4,0,0.1246
1,4,1,0.0194
1,4,2,0.2797
1,4,3,0.3659
1,4,4,0.0074
1,4,5,0.0204
1,4,6,0.0051
1,4,7,0.0742
1,4,8,0.0319
1,4,9,0.4972
