Step,Layer,Head,Sparsity
1,0,0,0.7245
1,0,1,0.5983
1,0,2,0.8822
1,0,3,0.7822
1,0,4,0.8935
1,0,5,0.4882
1,0,6,0.0091
1,0,7,0.8607
1,0,8,0.8589
1,0,9,0.0196
1,0,10,0.7333
1,0,11,0.5854
1,0,12,0.0437
1,0,13,0.7759
1,0,14,0.6438
1,0,15,0.8694
1,0,16,0.8156
1,0,17,0.5834
1,0,18,0.1554
1,0,19,0.5079
1,0,20,0.625
1,0,21,0.045
1,0,22,0.273
1,0,23,0.7983
1,1,0,0.2986
1,1,1,0.6955
1,1,2,0.3792
1,1,3,0.5176
1,1,4,0.522
1,1,5,0.3347
1,1,6,0.2788
1,1,7,0.0035
1,1,8,0.7105
1,1,9,0.0529
1,1,10,0.0319
1,1,11,0.0019
1,1,12,0.0011
1,1,13,0.6965
1,1,14,0.6476
1,1,15,0.0017
1,1,16,0.6244
1,1,17,0.2265
1,1,18,0.0017
1,1,19,0.012
1,1,20,0.7309
1,1,21,0.0298
1,1,22,0.4602
1,1,23,0.6926
1,2,0,0.0016
1,2,1,0.0982
1,2,2,0.0132
1,2,3,0.005
1,2,4,0.0032
1,2,5,0.0298
1,2,6,0.116
1,2,7,0.0016
1,2,8,0.0123
1,2,9,0.0908
1,2,10,0.0102
1,2,11,0.0123
1,2,12,0.0073
1,2,13,0.3415
1,2,14,0.0345
1,2,15,0.0111
1,2,16,0.0136
1,2,17,0.0246
1,2,18,0.3665
1,2,19,0.0038
1,2,20,0.7719
1,2,21,0.1974
1,2,22,0.0181
1,2,23,0.0557
1,3,0,0.0323
1,3,1,0.0851
1,3,2,0.2843
1,3,3,0.3807
1,3,4,0.2149
1,3,5,0.2549
1,3,6,0.4734
1,3,7,0.2941
1,3,8,0.1496
1,3,9,0.0092
1,3,10,0.244
1,3,11,0.234
1,3,12,0.013
1,3,13,0.0821
1,3,14,0.4767
1,3,15,0.0856
1,3,16,0.0892
1,3,17,0.0039
1,3,18,0.1899
1,3,19,0.2783
1,3,20,0.3531
1,3,21,0.2335
1,3,22,0.0038
1,3,23,0.12
1,4,0,0.0574
1,4,1,0.0172
1,4,2,0.2836
1,4,3,0.2962
1,4,4,0.0057
1,4,5,0.011
1,4,6,0.0048
1,4,7,0.08
1,4,8,0.0205
1,4,9,0.464
1,4,10,0.0092
1,4,11,0.0073
1,4,12,0.4137
1,4,13,0.2255
1,4,14,0.1977
1,4,15,0.0502
1,4,16,0.0099
1,4,17,0.1757
1,4,18,0.0022
1,4,19,0.0076
1,4,20,0.0104
1,4,21,0.0066
1,4,22,0.0056
1,4,23,0.0017
1,5,0,0.0316
1,5,1,0.1127
1,5,2,0.0204
1,5,3,0.0478
1,5,4,0.3871
1,5,5,0.0354
1,5,6,0.0497
1,5,7,0.2248
1,5,8,0.1014
1,5,9,0.1353
1,5,10,0.0603
1,5,11,0.1622
1,5,12,0.1403
1,5,13,0.2304
1,5,14,0.3704
1,5,15,0.1249
1,5,16,0.15
1,5,17,0.0364
1,5,18,0.0279
1,5,19,0.2421
1,5,20,0.0842
1,5,21,0.0343
1,5,22,0.0273
1,5,23,0.1084
1,6,0,0.1338
1,6,1,0.2188
1,6,2,0.1641
1,6,3,0.1347
1,6,4,0.0356
1,6,5,0.1394
1,6,6,0.0055
1,6,7,0.0399
1,6,8,0.0298
1,6,9,0.0628
1,6,10,0.0651
1,6,11,0.1507
1,6,12,0.0967
1,6,13,0.1568
1,6,14,0.008
1,6,15,0.0864
1,6,16,0.0938
1,6,17,0.2959
1,6,18,0.1501
1,6,19,0.2645
1,6,20,0.1357
1,6,21,0.0718
1,6,22,0.0363
1,6,23,0.0838
1,7,0,0.036
1,7,1,0.0074
1,7,2,0.057
1,7,3,0.0305
1,7,4,0.1811
1,7,5,0.0999
1,7,6,0.0046
1,7,7,0.1673
1,7,8,0.1147
1,7,9,0.1353
1,7,10,0.0271
1,7,11,0.1054
1,7,12,0.2434
1,7,13,0.2316
1,7,14,0.0517
1,7,15,0.148
1,7,16,0.1773
1,7,17,0.0925
1,7,18,0.2872
1,7,19,0.2685
1,7,20,0.3538
1,7,21,0.0937
1,7,22,0.4316
1,7,23,0.0473
1,8,0,0.0651
1,8,1,0.1131
1,8,2,0.1409
1,8,3,0.1484
1,8,4,0.0094
1,8,5,0.0299
1,8,6,0.0391
1,8,7,0.1395
1,8,8,0.0917
1,8,9,0.1145
1,8,10,0.1166
1,8,11,0.0612
1,8,12,0.202
1,8,13,0.4487
1,8,14,0.0798
1,8,15,0.0594
1,8,16,0.0451
1,8,17,0.147
1,8,18,0.1108
1,8,19,0.1286
1,8,20,0.2143
1,8,21,0.052
1,8,22,0.085
1,8,23,0.11
1,9,0,0.0465
1,9,1,0.2883
1,9,2,0.0305
1,9,3,0.1804
1,9,4,0.0668
1,9,5,0.0146
1,9,6,0.1272
1,9,7,0.0271
1,9,8,0.0368
1,9,9,0.1143
1,9,10,0.0142
1,9,11,0.0836
1,9,12,0.07
1,9,13,0.1378
1,9,14,0.0762
1,9,15,0.0065
