Step,Layer,Head,Sparsity
1,0,0,0.037
1,0,1,0.0564
1,0,2,0.7618
1,0,3,0.2513
1,0,4,0.0357
1,0,5,0.2109
1,0,6,0.0396
1,0,7,0.195
1,0,8,0.2111
1,0,9,0.3505
1,0,10,0.2311
1,0,11,0.0633
1,0,12,0.9098
1,0,13,0.9091
1,0,14,0.9028
1,0,15,0.9082
1,0,16,0.0267
1,0,17,0.8131
1,0,18,0.436
1,0,19,0.8934
1,0,20,0.8947
1,0,21,0.1831
1,0,22,0.0703
1,0,23,0.8776
1,0,24,0.2705
1,0,25,0.5545
1,0,26,0.7444
1,0,27,0.6849
1,0,28,0.7686
1,0,29,0.0573
1,0,30,0.0325
1,0,31,0.9106
1,0,32,0.921
1,0,33,0.2083
1,0,34,0.8167
1,0,35,0.1648
1,0,36,0.3466
1,0,37,0.8872
1,0,38,0.146
1,0,39,0.1632
1,1,0,0.0029
1,1,1,0.2222
1,1,2,0.0367
1,1,3,0.8104
1,1,4,0.1648
1,1,5,0.3729
1,1,6,0.0267
1,1,7,0.0407
1,1,8,0.301
1,1,9,0.6133
1,1,10,0.7835
1,1,11,0.1974
1,1,12,0.1066
1,1,13,0.7538
1,1,14,0.1464
1,1,15,0.2527
1,1,16,0.5924
1,1,17,0.2724
1,1,18,0.7967
1,1,19,0.0511
1,1,20,0.8394
1,1,21,0.0815
1,1,22,0.1019
1,1,23,0.0401
1,1,24,0.0133
1,1,25,0.0426
1,1,26,0.0745
1,1,27,0.4835
1,1,28,0.0011
1,1,29,0.2744
1,1,30,0.0765
1,1,31,0.0496
1,1,32,0.0613
1,1,33,0.4315
1,1,34,0.3331
1,1,35,0.0366
1,1,36,0.604
1,1,37,0.6175
1,1,38,0.6433
1,1,39,0.6512
1,2,0,0.0049
1,2,1,0.4752
1,2,2,0.0039
1,2,3,0.1668
1,2,4,0.1014
1,2,5,0.6977
1,2,6,0.0126
1,2,7,0.608
1,2,8,0.5238
1,2,9,0.3759
1,2,10,0.1534
1,2,11,0.4713
1,2,12,0.0595
1,2,13,0.4146
1,2,14,0.0237
1,2,15,0.1923
1,2,16,0.006
1,2,17,0.5021
