Step,Layer,Head,Sparsity
1,0,0,0.007
1,0,1,0.0332
1,0,2,0.836
1,0,3,0.2477
1,0,4,0.0032
1,0,5,0.236
1,0,6,0.014
1,0,7,0.1467
1,0,8,0.2127
1,0,9,0.3776
1,0,10,0.2872
1,0,11,0.0814
1,0,12,0.9
1,0,13,0.9046
1,0,14,0.9026
1,0,15,0.9098
1,0,16,0.0017
1,0,17,0.8416
1,0,18,0.4169
1,0,19,0.8846
1,0,20,0.898
1,0,21,0.3515
1,0,22,0.0749
1,0,23,0.869
1,0,24,0.3727
1,0,25,0.6105
1,0,26,0.7411
1,0,27,0.7394
1,0,28,0.8088
1,0,29,0.0199
1,0,30,0.0018
1,0,31,0.9079
1,0,32,0.9217
1,0,33,0.2471
1,0,34,0.8516
1,0,35,0.2627
1,0,36,0.3831
1,0,37,0.8942
1,0,38,0.1858
1,0,39,0.1706
1,1,0,0.001
1,1,1,0.2073
1,1,2,0.0996
1,1,3,0.8222
1,1,4,0.1972
1,1,5,0.4361
1,1,6,0.0285
1,1,7,0.0309
1,1,8,0.2916
1,1,9,0.559
1,1,10,0.792
1,1,11,0.2684
1,1,12,0.1416
1,1,13,0.7527
1,1,14,0.1956
1,1,15,0.3506
1,1,16,0.6064
1,1,17,0.2943
1,1,18,0.8028
1,1,19,0.0482
1,1,20,0.8295
1,1,21,0.0899
1,1,22,0.1034
1,1,23,0.0278
1,1,24,0.0045
1,1,25,0.015
1,1,26,0.1126
1,1,27,0.5295
1,1,28,0.0031
1,1,29,0.3398
1,1,30,0.0342
1,1,31,0.028
1,1,32,0.0414
1,1,33,0.5315
1,1,34,0.4337
1,1,35,0.028
1,1,36,0.572
1,1,37,0.5802
1,1,38,0.6628
1,1,39,0.7389
1,2,0,0.004
1,2,1,0.5018
1,2,2,0.0267
1,2,3,0.3477
1,2,4,0.1966
1,2,5,0.6548
1,2,6,0.0479
1,2,7,0.4014
1,2,8,0.4882
1,2,9,0.4578
1,2,10,0.2639
1,2,11,0.5129
1,2,12,0.0831
1,2,13,0.513
1,2,14,0.0716
1,2,15,0.3123
1,2,16,0.0019
1,2,17,0.5459
1,2,18,0.084
1,2,19,0.2958
1,2,20,0.2462
1,2,21,0.6812
1,2,22,0.3263
1,2,23,0.0037
1,2,24,0.7113
1,2,25,0.7244
1,2,26,0.4821
1,2,27,0.0591
1,2,28,0.0179
1,2,29,0.2675
1,2,30,0.0207
1,2,31,0.6014
1,2,32,0.3483
1,2,33,0.0116
1,2,34,0.6929
1,2,35,0.3678
1,2,36,0.7482
1,2,37,0.6652
1,2,38,0.0237
1,2,39,0.7894
1,3,0,0.0095
1,3,1,0.0866
1,3,2,0.5429
1,3,3,0.5962
1,3,4,0.6445
1,3,5,0.2824
1,3,6,0.2308
1,3,7,0.0546
1,3,8,0.1511
1,3,9,0.6128
1,3,10,0.1123
1,3,11,0.5654
1,3,12,0.0304
1,3,13,0.655
1,3,14,0.2054
1,3,15,0.2876
1,3,16,0.2883
1,3,17,0.5808
1,3,18,0.5554
1,3,19,0.4891
1,3,20,0.5845
1,3,21,0.6366
1,3,22,0.1641
1,3,23,0.4815
1,3,24,0.2298
1,3,25,0.4302
1,3,26,0.0064
1,3,27,0.4773
1,3,28,0.6243
1,3,29,0.5666
1,3,30,0.2153
1,3,31,0.3754
1,3,32,0.5721
1,3,33,0.0192
1,3,34,0.2592
1,3,35,0.3671
1,3,36,0.624
1,3,37,0.5374
1,3,38,0.4895
1,3,39,0.3242
1,4,0,0.4033
1,4,1,0.1154
1,4,2,0.5004
1,4,3,0.3272
1,4,4,0.4776
1,4,5,0.1218
1,4,6,0.4255
1,4,7,0.0939
1,4,8,0.51
1,4,9,0.1813
1,4,10,0.3411
1,4,11,0.6303
1,4,12,0.016
1,4,13,0.3716
1,4,14,0.2985
1,4,15,0.2617
1,4,16,0.5166
1,4,17,0.0769
1,4,18,0.0644
1,4,19,0.64
1,4,20,0.3804
1,4,21,0.1832
1,4,22,0.3347
1,4,23,0.2418
1,4,24,0.7497
1,4,25,0.6249
1,4,26,0.3968
1,4,27,0.4008
1,4,28,0.606
1,4,29,0.0717
1,4,30,0.2577
1,4,31,0.0383
