Step,Layer,Head,Sparsity
1,0,0,0.7382
1,0,1,0.0411
1,0,2,0.8895
1,0,3,0.9103
1,0,4,0.004
1,0,5,0.0104
1,0,6,0.0883
1,0,7,0.1293
1,0,8,0.9118
1,0,9,0.8536
1,0,10,0.3779
1,0,11,0.0028
1,1,0,0.0474
1,1,1,0.1461
1,1,2,0.0118
1,1,3,0.0288
1,1,4,0.0271
1,1,5,0.4475
1,1,6,0.6448
1,1,7,0.4945
1,1,8,0.1299
1,1,9,0.0048
1,1,10,0.7943
1,1,11,0.3925
1,2,0,0.4968
1,2,1,0.7084
1,2,2,0.015
1,2,3,0.0048
1,2,4,0.0169
1,2,5,0.5573
1,2,6,0.7911
1,2,7,0.0085
1,2,8,0.0143
1,2,9,0.4903
1,2,10,0.3235
1,2,11,0.0067
1,3,0,0.004
1,3,1,0.7705
1,3,2,0.6265
1,3,3,0.7496
1,3,4,0.3051
1,3,5,0.4957
1,3,6,0.6171
1,3,7,0.0093
1,3,8,0.0827
1,3,9,0.3827
1,3,10,0.7923
1,3,11,0.6572
1,4,0,0.083
1,4,1,0.3931
1,4,2,0.6319
1,4,3,0.0193
1,4,4,0.7582
1,4,5,0.0053
1,4,6,0.834
1,4,7,0.6516
1,4,8,0.7465
1,4,9,0.7473
1,4,10,0.4288
1,4,11,0.5661
1,5,0,0.0662
1,5,1,0.0164
1,5,2,0.4137
1,5,3,0.7778
1,5,4,0.5006
1,5,5,0.5838
1,5,6,0.0858
1,5,7,0.0247
1,5,8,0.7861
1,5,9,0.0229
1,5,10,0.0878
1,5,11,0.2427
1,6,0,0.5989
1,6,1,0.7246
1,6,2,0.0398
1,6,3,0.2566
1,6,4,0.4388
1,6,5,0.6028
1,6,6,0.7155
1,6,7,0.6113
1,6,8,0.5517
1,6,9,0.5862
1,6,10,0.5468
1,6,11,0.0052
1,7,0,0.3989
1,7,1,0.2921
1,7,2,0.2947
1,7,3,0.0172
1,7,4,0.6089
1,7,5,0.4926
1,7,6,0.3526
1,7,7,0.345
1,7,8,0.0793
1,7,9,0.464
1,7,10,0.5996
1,7,11,0.4401
1,8,0,0.0977
1,8,1,0.2527
1,8,2,0.6464
1,8,3,0.0642
1,8,4,0.0411
1,8,5,0.2735
1,8,6,0.6305
1,8,7,0.6305
1,8,8,0.4342
1,8,9,0.6383
1,8,10,0.0222
1,8,11,0.203
1,9,0,0.1489
1,9,1,0.2129
1,9,2,0.1877
1,9,3,0.243
1,9,4,0.3869
1,9,5,0.7055
1,9,6,0.2899
1,9,7,0.518
1,9,8,0.2267
1,9,9,0.1388
1,9,10,0.1446
1,9,11,0.4855
1,10,0,0.1275
1,10,1,0.4194
1,10,2,0.3465
1,10,3,0.1613
1,10,4,0.4294
1,10,5,0.228
1,10,6,0.5059
1,10,7,0.5772
1,10,8,0.5997
1,10,9,0.232
1,10,10,0.2689
1,10,11,0.1284
1,11,0,0.5165
1,11,1,0.0955
1,11,2,0.3007
1,11,3,0.2237
1,11,4,0.0912
1,11,5,0.4285
1,11,6,0.1714
1,11,7,0.4901
1,11,8,0.5336
1,11,9,0.0479
1,11,10,0.5205
1,11,11,0.4053
1,12,0,0.0722
1,12,1,0.244
1,12,2,0.0281
1,12,3,0.6373
1,12,4,0.5731
1,12,5,0.6438
1,12,6,0.1707
1,12,7,0.3165
1,12,8,0.0385
1,12,9,0.3958
1,12,10,0.4116
1,12,11,0.3356
1,13,0,0.059
1,13,1,0.1452
1,13,2,0.1095
1,13,3,0.4576
1,13,4,0.368
1,13,5,0.1652
1,13,6,0.3479
1,13,7,0.1932
1,13,8,0.2613
1,13,9,0.1065
1,13,10,0.3343
1,13,11,0.1018
1,14,0,0.0616
1,14,1,0.1405
1,14,2,0.4055
1,14,3,0.1465
1,14,4,0.0308
1,14,5,0.3385
1,14,6,0.5942
1,14,7,0.4702
1,14,8,0.2115
1,14,9,0.4823
1,14,10,0.3908
1,14,11,0.2214
1,15,0,0.3341
1,15,1,0.0865
1,15,2,0.1521
1,15,3,0.2501
1,15,4,0.1193
1,15,5,0.2668
1,15,6,0.507
1,15,7,0.1022
1,15,8,0.4464
1,15,9,0.3079
1,15,10,0.4533
1,15,11,0.3019
1,16,0,0.0866
1,16,1,0.384
1,16,2,0.2412
