Step,Layer,Head,Sparsity
1,0,0,0.0129
1,0,1,0.0082
1,0,2,0.8293
1,0,3,0.2929
1,0,4,0.0197
1,0,5,0.1495
1,0,6,0.0218
1,0,7,0.1604
1,0,8,0.0732
1,0,9,0.4412
1,0,10,0.0577
1,0,11,0.0159
1,0,12,0.9063
1,0,13,0.8821
1,0,14,0.9101
1,0,15,0.8845
1,0,16,0.0109
1,0,17,0.6061
1,0,18,0.3727
1,0,19,0.8888
1,0,20,0.8322
1,0,21,0.0723
1,0,22,0.0246
1,0,23,0.7989
1,0,24,0.2514
1,0,25,0.7587
1,0,26,0.7856
1,0,27,0.2253
1,0,28,0.7947
1,0,29,0.0168
1,0,30,0.0166
1,0,31,0.8956
1,0,32,0.8983
1,0,33,0.0333
1,0,34,0.905
1,0,35,0.0472
1,0,36,0.4005
1,0,37,0.8882
1,0,38,0.0782
1,0,39,0.026
1,1,0,0.002
1,1,1,0.0844
1,1,2,0.012
1,1,3,0.7538
1,1,4,0.1964
1,1,5,0.6904
1,1,6,0.0086
1,1,7,0.0075
1,1,8,0.3656
1,1,9,0.7917
1,1,10,0.8982
1,1,11,0.0716
1,1,12,0.1303
1,1,13,0.7222
1,1,14,0.1695
1,1,15,0.2139
1,1,16,0.6948
1,1,17,0.2521
1,1,18,0.7479
1,1,19,0.037
1,1,20,0.7762
1,1,21,0.032
1,1,22,0.0854
1,1,23,0.018
1,1,24,0.0253
1,1,25,0.0219
1,1,26,0.0458
1,1,27,0.3718
1,1,28,0.0025
1,1,29,0.1375
1,1,30,0.0197
1,1,31,0.0232
1,1,32,0.0214
1,1,33,0.5387
1,1,34,0.4057
1,1,35,0.0055
1,1,36,0.5041
1,1,37,0.3297
1,1,38,0.4195
1,1,39,0.6237
1,2,0,0.008
1,2,1,0.3705
1,2,2,0.0066
1,2,3,0.0456
1,2,4,0.0928
1,2,5,0.8339
1,2,6,0.0193
1,2,7,0.6243
1,2,8,0.4239
1,2,9,0.3014
1,2,10,0.3479
1,2,11,0.4104
1,2,12,0.1262
1,2,13,0.36
1,2,14,0.0376
1,2,15,0.17
1,2,16,0.0081
1,2,17,0.2606
1,2,18,0.1191
1,2,19,0.2274
1,2,20,0.0761
1,2,21,0.7297
1,2,22,0.2079
1,2,23,0.0024
1,2,24,0.6058
1,2,25,0.8148
1,2,26,0.4224
1,2,27,0.0282
1,2,28,0.0114
1,2,29,0.2282
1,2,30,0.002
1,2,31,0.7414
1,2,32,0.5973
1,2,33,0.0097
1,2,34,0.651
1,2,35,0.3074
1,2,36,0.521
1,2,37,0.612
1,2,38,0.0093
1,2,39,0.7546
1,3,0,0.0045
1,3,1,0.0177
1,3,2,0.4261
1,3,3,0.7672
1,3,4,0.657
1,3,5,0.0732
1,3,6,0.4105
1,3,7,0.0072
1,3,8,0.1272
1,3,9,0.7541
1,3,10,0.067
1,3,11,0.5102
1,3,12,0.0047
1,3,13,0.7498
1,3,14,0.1823
1,3,15,0.0815
1,3,16,0.2407
1,3,17,0.6427
1,3,18,0.4076
1,3,19,0.5366
1,3,20,0.5517
1,3,21,0.5463
1,3,22,0.0704
1,3,23,0.4072
1,3,24,0.2166
1,3,25,0.6224
1,3,26,0.0068
1,3,27,0.7013
1,3,28,0.7706
1,3,29,0.5402
1,3,30,0.1073
1,3,31,0.4088
1,3,32,0.6382
1,3,33,0.0125
1,3,34,0.1136
1,3,35,0.3135
1,3,36,0.5218
1,3,37,0.35
1,3,38,0.3429
1,3,39,0.1566
1,4,0,0.2369
1,4,1,0.008
1,4,2,0.6024
1,4,3,0.5405
1,4,4,0.6866
1,4,5,0.0502
1,4,6,0.4927
1,4,7,0.0162
1,4,8,0.2882
1,4,9,0.1931
1,4,10,0.283
