Step,Layer,Head,Sparsity
1,0,0,0.0038
1,0,1,0.0044
1,0,2,0.8289
1,0,3,0.2746
1,0,4,0.0012
1,0,5,0.1987
1,0,6,0.0046
1,0,7,0.1261
1,0,8,0.0779
1,0,9,0.4241
1,0,10,0.0557
1,0,11,0.0153
1,0,12,0.8971
1,0,13,0.884
1,0,14,0.9111
1,0,15,0.8976
1,0,16,0.0004
1,0,17,0.6645
1,0,18,0.3915
1,0,19,0.8706
1,0,20,0.837
1,0,21,0.0938
1,0,22,0.0314
1,0,23,0.7922
1,0,24,0.2844
1,0,25,0.7561
1,0,26,0.7604
1,0,27,0.2242
1,0,28,0.8072
1,0,29,0.0086
1,0,30,0.0007
1,0,31,0.8927
1,0,32,0.9031
1,0,33,0.0229
1,0,34,0.9086
1,0,35,0.055
1,0,36,0.4756
1,0,37,0.8877
1,0,38,0.0855
1,0,39,0.0253
1,1,0,0.0004
1,1,1,0.1043
1,1,2,0.0701
1,1,3,0.7289
1,1,4,0.2379
1,1,5,0.7352
1,1,6,0.0155
1,1,7,0.016
1,1,8,0.3181
1,1,9,0.6384
1,1,10,0.8716
1,1,11,0.166
1,1,12,0.1679
1,1,13,0.695
1,1,14,0.1967
1,1,15,0.3291
1,1,16,0.673
1,1,17,0.2605
1,1,18,0.7919
1,1,19,0.0571
1,1,20,0.7588
1,1,21,0.0541
1,1,22,0.1263
1,1,23,0.0145
1,1,24,0.0046
1,1,25,0.0076
1,1,26,0.0393
1,1,27,0.4061
1,1,28,0.0083
1,1,29,0.1688
1,1,30,0.029
1,1,31,0.0123
1,1,32,0.0204
1,1,33,0.6035
1,1,34,0.5159
1,1,35,0.0414
1,1,36,0.5777
1,1,37,0.3475
1,1,38,0.4367
1,1,39,0.6357
1,2,0,0.0054
1,2,1,0.4124
1,2,2,0.0147
1,2,3,0.0848
1,2,4,0.1699
1,2,5,0.793
1,2,6,0.0303
1,2,7,0.5587
1,2,8,0.4123
1,2,9,0.3906
1,2,10,0.4154
1,2,11,0.3811
1,2,12,0.0952
1,2,13,0.4017
1,2,14,0.0603
1,2,15,0.2507
1,2,16,0.0036
1,2,17,0.3495
1,2,18,0.0767
1,2,19,0.1766
1,2,20,0.1539
1,2,21,0.7618
1,2,22,0.4538
1,2,23,0.0046
1,2,24,0.683
1,2,25,0.7932
1,2,26,0.4661
1,2,27,0.0406
1,2,28,0.013
1,2,29,0.3078
1,2,30,0.0091
1,2,31,0.7783
1,2,32,0.6047
1,2,33,0.0099
1,2,34,0.7525
1,2,35,0.3575
1,2,36,0.6916
